cid,MW
24450,174.17399999999998
24642,239.836
24706,608.8630000000003
24748,240.208
24841,127.912
25419,244.891
25959,211.953
27304,191.99999999999997
27400,295.4510000000001
27661,191.139
27991,1069.2379999999994
27993,348.42000000000013
28332,547.7170000000003
28486,6.941
29089,897.7680000000007
30623,268.27299999999997
31072,186.236
31264,132.159
31378,380.4560000000001
31477,309.406
32169,320.84200000000004
32281,362.3900000000002
32603,504.97000000000014
32797,410.91300000000007
32800,1143.2900000000004
34312,252.273
36339,244.294
36523,1182.3110000000004
36811,301.38599999999997
37392,536.8930000000001
37720,602.5010000000003
38904,373.266
39042,361.8250000000001
39507,370.5330000000001
39524,234.29499999999996
39764,637.7440000000004
39860,372.54900000000015
40159,391.294
40632,185.226
40703,591.4250000000002
40973,310.48100000000005
40976,324.46400000000006
41317,326.4360000000001
41684,307.28700000000003
41693,386.5610000000001
41744,723.6500000000005
41774,645.6080000000004
41781,348.42800000000005
42113,168.03599999999997
42395,446.5840000000003
42615,1239.4470000000006
42955,382.54100000000017
44563,432.77300000000025
44564,311.63700000000006
45469,307.90100000000007
47319,929.1609999999998
47320,1243.501
47419,510.4810000000003
47471,474.797
47528,211.1769999999999
47640,323.867
47725,1269.4330000000004
50294,371.34500000000014
50614,575.6320000000002
51263,416.5260000000002
51577,207.226
51634,219.281
52421,488.57700000000034
54158,387.23
54313,360.4940000000001
54331,259.19499999999994
54373,1139.364999999999
54454,418.5740000000003
54547,427.4640000000001
54688,747.9640000000002
54786,390.5200000000001
54808,466.9580000000002
54840,291.82199999999995
54949,563.5640000000004
55331,470.5220000000002
55466,938.005
55480,282.81500000000005
56338,406.242
56959,427.5450000000002
57166,1179.3849999999993
57469,240.31
57537,315.48199999999997
57697,228.21500000000003
59708,170.212
59768,295.379
60146,444.9810000000001
60164,412.5290000000003
60172,273.18899999999996
60183,441.6130000000003
60184,368.47400000000016
60198,296.40999999999997
60490,236.29599999999996
60496,567.0600000000005
60612,200.285
60613,279.18899999999996
60668,668.5410000000006
60695,609.6900000000004
60706,437.5150000000002
60714,558.6900000000002
60726,334.1690000000001
60751,680.7640000000002
60752,885.2440000000004
60754,591.6760000000004
60787,670.8550000000001
60795,448.3940000000001
60814,412.91400000000016
60830,472.426
60834,333.88399999999996
60843,427.4170000000002
60852,319.23100000000005
60853,467.4220000000002
60860,275.093
60864,373.88000000000005
60867,280.29100000000005
60871,501.47700000000026
60877,247.251
60878,520.6290000000002
60936,362.5750000000001
60953,359.35400000000004
61475,248.186
61799,130.099
62305,520.5640000000002
62358,107.109
62816,281.832
62819,980.1809999999996
62924,444.5150000000001
62956,435.50100000000015
62959,416.3590000000001
62965,464.98600000000016
63001,396.44300000000015
64147,354.3670000000001
64778,383.47000000000014
64929,318.756
64987,287.21599999999995
65014,794.4840000000006
65157,456.7110000000003
65281,1422.72
65370,563.6050000000004
65628,358.2690000000001
65840,174.63099999999997
65856,313.39699999999993
65863,437.779
65866,611.7390000000001
65999,514.6290000000002
68613,994.2079999999992
68740,272.09
68844,383.5170000000002
69512,366.753
71158,181.213
71273,274.408
71301,405.4410000000001
71316,1029.2779999999996
71329,441.5750000000001
71348,1156.399
71360,426.4880000000001
71362,1364.6000000000006
71406,574.8430000000003
71436,475.6230000000002
71469,1092.2330000000006
71616,349.31600000000003
72022,340.42
72054,426.56000000000034
72081,1227.395
72111,785.8909999999998
72466,1512.6470000000006
72938,389.3870000000001
73303,420.51300000000015
73658,812.0179999999997
74989,366.8440000000001
77992,243.31
77993,382.52900000000005
77996,416.6460000000002
77997,391.4750000000001
77998,473.5070000000001
78032,444.59700000000015
82146,348.4860000000002
82148,243.306
83030,339.35900000000004
83513,139.344
83606,89.63600000000001
84003,376.40900000000016
91488,412.4290000000001
93860,384.2450000000001
96312,297.2710000000001
102258,550.3700000000003
102399,504.4380000000001
104741,606.7820000000008
104758,458.4960000000002
104778,423.4220000000002
104799,315.6940000000001
104849,500.2569999999999
104865,551.6250000000002
105145,69.723
107694,713.3550000000001
107969,343.939
107994,410.4700000000002
110634,488.6140000000004
110635,389.4110000000001
114709,254.289
115237,426.4920000000002
115355,329.23
119182,303.68100000000004
119212,465.5720000000001
119607,314.3660000000001
119828,370.43000000000006
119830,519.4480000000003
121396,190.155
121749,431.151
121892,303.337
122197,431.28899999999993
122316,171.243
123015,238.29
123597,500.55400000000014
123606,335.4730000000002
