cid,MW
4631,265.35299999999995
4634,357.494
4635,315.369
4638,332.48400000000004
4639,301.342
4649,153.137
4666,853.9180000000003
4673,279.03299999999996
4675,572.8750000000002
4678,205.25399999999996
4679,383.3760000000001
4680,339.39100000000013
4689,615.6340000000002
4691,329.37100000000004
4695,545.7030000000003
4724,291.43500000000006
4725,253.262
4727,149.215
4730,349.3880000000001
4735,340.42699999999996
4736,285.431
4737,226.276
4739,268.273
4740,278.31200000000007
4745,314.49800000000005
4746,277.496
4747,365.50200000000007
4748,403.9790000000002
4756,213.244
4763,232.239
4768,303.83299999999997
4771,149.23699999999997
4775,164.20399999999998
4782,167.208
4786,151.20899999999995
4810,241.682
4811,275.35200000000003
4812,450.70700000000033
4819,208.261
4828,248.326
4829,356.44700000000006
4834,516.5560000000003
4845,240.303
4865,414.4100000000002
4868,1203.499
4870,439.8900000000001
4885,211.33399999999995
4889,424.5340000000002
4891,312.4130000000001
4893,383.4080000000001
4894,360.4500000000001
4895,402.48700000000014
4896,440.4290000000002
4900,358.434
4906,220.316
4908,259.353
4909,218.256
4911,285.365
4913,235.331
4914,236.315
4915,221.304
4917,373.9530000000001
4920,314.4690000000001
4923,253.73700000000005
4927,284.428
4932,341.451
4934,368.4970000000001
4935,294.395
4943,178.27499999999998
4946,259.349
4976,263.384
4989,206.314
4991,181.21499999999995
4992,285.391
4993,248.717
4999,386.801
5002,383.5170000000001
5005,438.5240000000003
5029,359.4510000000002
5032,165.236
5035,473.59400000000016
5038,416.5180000000003
5039,314.41100000000006
5040,914.187
5051,634.7260000000002
5052,608.6880000000003
5064,244.2069999999999
5070,234.20199999999997
5071,179.30699999999996
5073,410.49300000000017
5076,720.9620000000002
5077,250.342
5078,269.352
5090,314.36199999999997
5095,260.381
5106,837.0580000000001
5152,415.57400000000007
5155,224.216
5161,258.229
5184,303.35799999999995
5193,238.287
5195,187.28599999999992
5203,306.236
5206,200.05299999999997
5210,279.8550000000001
5212,474.5870000000004
5214,360.16700000000003
5215,250.283
5238,149.894
5245,283.11299999999994
5248,294.457
5253,272.37
5257,392.4060000000001
5267,416.5830000000003
5291,493.61500000000024
5297,581.5800000000003
5300,265.222
5311,264.3249999999999
5314,290.404
5318,397.7579999999999
5320,214.246
5329,253.283
5333,172.20899999999995
5352,356.41800000000006
5358,295.408
5359,260.31399999999996
5372,804.0310000000002
5376,371.52400000000006
5379,375.40000000000015
5381,351.4710000000002
5391,300.745
5394,194.15399999999997
5396,656.6620000000005
5401,387.44000000000017
5402,291.438
5403,225.288
5404,532.4720000000002
5407,300.39799999999997
5408,288.43100000000004
5409,400.6030000000003
5410,344.4950000000001
5411,264.36899999999997
5419,200.2849999999999
5426,258.233
5430,201.254
5452,370.5870000000001
5453,189.22399999999996
5454,443.6380000000002
5466,375.559
5468,260.31399999999996
5470,312.453
5472,263.793
5478,316.4270000000001
5479,247.276
5483,163.198
5486,440.6060000000004
5487,253.718
5496,467.52000000000027
5503,311.40700000000015
5505,270.354
5508,256.281
5512,325.496
5514,339.36600000000004
5515,421.45300000000015
5516,405.9690000000001
5523,263.381
5524,215.3
5525,430.5450000000003
5526,157.21300000000002
5530,133.19399999999996
5533,371.87200000000007
5538,300.44200000000006
5544,394.4390000000001
5546,253.26899999999995
5556,343.217
5564,289.54499999999996
5565,146.238
5566,407.5050000000001
5572,301.47399999999993
5576,143.14199999999997
5577,388.46400000000017
5578,290.32300000000004
5582,370.43300000000016
5584,294.44199999999995
5591,441.54900000000015
5593,284.359
5595,284.35900000000004
5596,392.519
5625,456.5720000000001
5636,382.54100000000017
5645,392.58000000000015
5647,324.34100000000007
5650,435.5280000000002
5651,1449.2710000000004
5656,277.40799999999996
5665,129.159
5672,778.9470000000002
5717,575.6870000000001
5718,211.221
5719,305.34100000000007
5721,332.3130000000001
5726,267.245
5727,136.296
5731,287.363
5732,307.39700000000005
5734,212.22999999999996
5735,388.81500000000005
5746,334.33200000000005
5771,1007.2069999999992
5775,281.359
5877,416.51400000000024
5878,306.446
5939,101.11300000000004
5978,824.9720000000002
6018,317.4290000000001
6049,292.24399999999997
6058,77.152
6116,158.166
6238,330.4680000000001
6256,296.201
6432,188.01699999999997
6436,434.50400000000013
6451,698.0210000000002
6468,243.39399999999995
6476,203.241
6503,121.136
6726,266.38800000000003
7012,164.20399999999995
7029,205.301
7187,242.23
7638,200.237
7699,603.7500000000003
8197,189.307
8230,1084.2529999999992
8612,270.76
8982,414.4830000000002
9034,262.30899999999997
9354,182.222
9433,420.4340000000002
9904,274.404
10100,339.47900000000016
10340,105.988
10413,104.105
10547,383.232
10631,344.4950000000001
10660,469.9730000000002
11125,73.89
11973,596.2980000000003
12453,473.8970000000002
12460,191.27400000000003
12536,416.51400000000024
12555,309.413
12559,1018.421
12597,146.142
12620,326.60900000000004
13314,335.19000000000005
13342,810.9890000000001
14789,233.54699999999997
14888,197.841
14917,20.006
15232,909.1439999999998
15459,221.25599999999997
16124,176.001
16230,266.0919999999999
16362,461.55600000000015
16533,476.5850000000002
16850,332.31100000000004
16886,228.20799999999997
17358,146.055
18140,440.4110000000002
19090,342.47900000000016
20585,284.34000000000003
20969,410.9130000000001
21800,504.5950000000003
21945,319.36500000000007
22258,299.37000000000006
22318,390.078
22502,588.7270000000002
23703,436.5740000000002
23897,276.37999999999994
23925,55.845
23926,138.906
23951,150.36
23954,107.868
23957,98.0
23976,51.996
23978,63.546
23982,157.25
23993,88.906
23994,65.39
24087,143.094
24414,233.391
24424,161.45299999999995
