cid,name,pubchem_url,n_side_effects,smiles,side_effects_list
311,citric,https://pubchem.ncbi.nlm.nih.gov/compound/311,11,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Nausea; Vomiting; Diarrhoea; Asthenia; Feeling abnormal; Hypotension; Paraesthesia; Confusional state; Chills; Abdominal discomfort; Abdominal pain upper
312,chloride,https://pubchem.ncbi.nlm.nih.gov/compound/312,11,[Cl-],Nausea; Dermatitis; Rash; Vomiting; Diarrhoea; Body temperature increased; Infection; Flatulence; Abdominal discomfort; Gastrointestinal haemorrhage; Hyponatraemia
338,salicylate,https://pubchem.ncbi.nlm.nih.gov/compound/338,31,C1=CC=C(C(=C1)C(=O)O)O,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Pruritus; Urticaria; Pain; Feeling abnormal; Constipation; Dyspepsia; Decreased appetite; Somnolence; Oedema; Confusional state; Erythema; Dysgeusia; Tinnitus; Erythema multiforme; Hepatitis; Epistaxis; Hallucination; Weight increased; Abdominal discomfort; Asthma; Abdominal pain upper; Lethargy; Deafness; Ecchymosis
401,D-cycloserine,https://pubchem.ncbi.nlm.nih.gov/compound/401,14,C1C(C(=O)NO1)N,Headache; Dermatitis; Rash; Hypersensitivity; Feeling abnormal; Somnolence; Paraesthesia; Confusional state; Convulsion; Vertigo; Tremor; Psychotic disorder; Osteoarthritis; Cardiac failure congestive
444,bupropion,https://pubchem.ncbi.nlm.nih.gov/compound/444,164,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Pruritus; Asthenia; Hypersensitivity; Abdominal pain; Urticaria; Gastrointestinal pain; Body temperature increased; Gastrointestinal disorder; Pain; Feeling abnormal; Fatigue; Constipation; Dyspnoea; Dyspepsia; Decreased appetite; Musculoskeletal discomfort; Insomnia; Somnolence; Hypotension; Paraesthesia; Skin disorder; Anaphylactic shock; Nervous system disorder; Thrombocytopenia; Infection; Hyperhidrosis; Tachycardia; Shock; Arthralgia; Cough; Oedema; Myalgia; Hypertension; Discomfort; Dry mouth; Chest pain; Anxiety; Confusional state; Angioedema; Loss of consciousness; Anaemia; Convulsion; Leukopenia; Vertigo; Syncope; Malaise; Palpitations; Back pain; Ill-defined disorder; Muscle spasms; Agitation; Malnutrition; Tremor; Mental disorder; Vision blurred; Dysgeusia; Angiopathy; Mediastinal disorder; Immune system disorder; Flatulence; Alopecia; Chills; Nervousness; Tension; Flushing; Cardiac disorder; Oedema peripheral; Eye disorder; Arrhythmia; Connective tissue disorder; Tinnitus; Erythema multiforme; Urethral disorder; Visual impairment; Pharyngitis; Haemorrhage; Urinary tract disorder; Haemoglobin; Rhinitis; Hepatitis; Hypoaesthesia; Sinusitis; Urinary tract infection; Infestation; Epistaxis; Hallucination; Neuropathy peripheral; Pneumonia; Acute coronary syndrome; Myocardial infarction; Hyperglycaemia; Stomatitis; Jaundice; Upper respiratory tract infection; Conjunctivitis; Weight increased; Stevens-Johnson syndrome; Weight decreased; Pancreatitis; Photosensitivity reaction; Bronchitis; Pollakiuria; Erectile dysfunction; Dysuria; Pancytopenia; Abdominal distension; Abdominal discomfort; Bronchospasm; Nasopharyngitis; Influenza; Muscular weakness; Asthma; Abdominal pain upper; Dysphagia; Dry skin; Gastritis; Breast disorder; Pain in extremity; Orthostatic hypotension; Dehydration; Mood swings; Face oedema; Ataxia; Urinary retention; Disturbance in sexual arousal; Migraine; Irritability; Affect lability; Menopausal symptoms; Cerebrovascular accident; Arthritis; Increased appetite; Lethargy; Psychotic disorder; Hypoglycaemia; Osteoarthritis; Hot flush; Gastrointestinal haemorrhage; Diplopia; Thirst; Dermatitis exfoliative; Libido decreased; Injury; Nasal congestion; Amnesia; Eye pain; Eczema; Gastroenteritis; Polyuria; Sleep disorder; Deafness; Lymphadenopathy; Hepatic function abnormal; Ecchymosis; Ear pain; Neoplasm; Gynaecomastia
450,estradiol,https://pubchem.ncbi.nlm.nih.gov/compound/450,149,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Pruritus; Asthenia; Hypersensitivity; Abdominal pain; Urticaria; Gastrointestinal pain; Body temperature increased; Gastrointestinal disorder; Pain; Feeling abnormal; Fatigue; Constipation; Dyspnoea; Dyspepsia; Decreased appetite; Musculoskeletal discomfort; Insomnia; Somnolence; Paraesthesia; Skin disorder; Anaphylactic shock; Nervous system disorder; Infection; Hyperhidrosis; Tachycardia; Shock; Arthralgia; Cough; Oedema; Myalgia; Hypertension; Discomfort; Dry mouth; Chest pain; Anxiety; Confusional state; Angioedema; Loss of consciousness; Vertigo; Syncope; Malaise; Palpitations; Back pain; Ill-defined disorder; Erythema; Muscle spasms; Agitation; Malnutrition; Tremor; Mental disorder; Dysgeusia; Angiopathy; Mediastinal disorder; Immune system disorder; Flatulence; Alopecia; Chills; Nervousness; Tension; Flushing; Cardiac disorder; Oedema peripheral; Eye disorder; Connective tissue disorder; Tinnitus; Erythema multiforme; Urethral disorder; Visual impairment; Pharyngitis; Haemorrhage; Urinary tract disorder; Haemoglobin; Rhinitis; Hepatitis; Hypoaesthesia; Sinusitis; Urinary tract infection; Infestation; Epistaxis; Hepatobiliary disease; Neuropathy peripheral; Haematuria; Pneumonia; Acute coronary syndrome; Myocardial infarction; Hyperglycaemia; Jaundice; Upper respiratory tract infection; Conjunctivitis; Weight increased; Depression; Weight decreased; Pancreatitis; Photosensitivity reaction; Bronchitis; Pollakiuria; Abdominal distension; Abdominal discomfort; Bronchospasm; Nasopharyngitis; Influenza; Alanine aminotransferase increased; Asthma; Abdominal pain upper; Dysphagia; Dry skin; Gastritis; Breast disorder; Pain in extremity; Anaphylactoid reaction; Liver function test abnormal; Mood swings; Face oedema; Disturbance in sexual arousal; Migraine; Irritability; Affect lability; Menopausal symptoms; Cerebrovascular accident; Arthritis; Increased appetite; Lethargy; Osteoarthritis; Hot flush; Purpura; Libido decreased; Injury; Swelling; Thrombophlebitis; Nasal congestion; Amnesia; Vascular purpura; Eczema; Gastroenteritis; Polyuria; Deafness; Blood alkaline phosphatase increased; Lymphadenopathy; Hepatic function abnormal; Ear pain; Neoplasm; Gynaecomastia
453,mannitol,https://pubchem.ncbi.nlm.nih.gov/compound/453,69,C(C(C(C(C(CO)O)O)O)O)O,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Pruritus; Asthenia; Hypersensitivity; Urticaria; Body temperature increased; Gastrointestinal disorder; Pain; Feeling abnormal; Fatigue; Dyspnoea; Decreased appetite; Musculoskeletal discomfort; Hypotension; Skin disorder; Nervous system disorder; Infection; Tachycardia; Arthralgia; Cough; Oedema; Hypertension; Discomfort; Chest pain; Convulsion; Vertigo; Malaise; Back pain; Ill-defined disorder; Malnutrition; Mental disorder; Vision blurred; Mediastinal disorder; Flatulence; Chills; Nervousness; Connective tissue disorder; Urethral disorder; Pharyngitis; Urinary tract disorder; Rhinitis; Infestation; Stomatitis; Renal failure; Upper respiratory tract infection; Bronchitis; Angina pectoris; Bronchospasm; Nasopharyngitis; Abdominal pain upper; Pain in extremity; Dehydration; Urinary retention; Hyponatraemia; Cardiac failure; Thirst; Thrombophlebitis; Diabetes mellitus; Cardiac failure congestive; Polyuria; Blood alkaline phosphatase increased; Ear pain; Pulmonary oedema
564,EACA,https://pubchem.ncbi.nlm.nih.gov/compound/564,39,C(CCC(=O)O)CCN,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Pruritus; Hypersensitivity; Abdominal pain; Gastrointestinal pain; Pain; Feeling abnormal; Dyspnoea; Musculoskeletal discomfort; Hypotension; Anaphylactic shock; Thrombocytopenia; Shock; Oedema; Myalgia; Discomfort; Confusional state; Loss of consciousness; Convulsion; Leukopenia; Syncope; Malaise; Ill-defined disorder; Tinnitus; Bradycardia; Hallucination; Agranulocytosis; Renal failure; Muscular weakness; Anaphylactoid reaction; Cerebrovascular accident; Nasal congestion; Injection site reaction
581,N-acetylcysteine,https://pubchem.ncbi.nlm.nih.gov/compound/581,39,CC(=O)NC(CS)C(=O)O,Nausea; Dermatitis; Rash; Vomiting; Dizziness; Pruritus; Hypersensitivity; Urticaria; Body temperature increased; Gastrointestinal disorder; Dyspnoea; Dyspepsia; Somnolence; Hypotension; Skin disorder; Anaphylactic shock; Hyperhidrosis; Tachycardia; Shock; Cough; Oedema; Angioedema; Loss of consciousness; Syncope; Erythema; Angiopathy; Mediastinal disorder; Immune system disorder; Flushing; Cardiac disorder; Pharyngitis; Stomatitis; Bronchospasm; Nasopharyngitis; Asthma; Anaphylactoid reaction; Face oedema; Eye pain; Ear pain
596,cytarabine,https://pubchem.ncbi.nlm.nih.gov/compound/596,102,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Pruritus; Asthenia; Hypersensitivity; Abdominal pain; Urticaria; Gastrointestinal pain; Body temperature increased; Gastrointestinal disorder; Pain; Feeling abnormal; Fatigue; Constipation; Dyspnoea; Decreased appetite; Musculoskeletal discomfort; Insomnia; Somnolence; Hypotension; Paraesthesia; Skin disorder; Anaphylactic shock; Nervous system disorder; Thrombocytopenia; Infection; Hyperhidrosis; Tachycardia; Shock; Arthralgia; Cough; Oedema; Myalgia; Hypertension; Discomfort; Chest pain; Anxiety; Confusional state; Loss of consciousness; Anaemia; Convulsion; Leukopenia; Syncope; Malaise; Back pain; Ill-defined disorder; Agitation; Malnutrition; Tremor; Mental disorder; Vision blurred; Angiopathy; Mediastinal disorder; Immune system disorder; Alopecia; Cardiac disorder; Oedema peripheral; Eye disorder; Connective tissue disorder; Urethral disorder; Visual impairment; Haemorrhage; Urinary tract disorder; Haemoglobin; Hypoaesthesia; Urinary tract infection; Infestation; Hepatobiliary disease; Neuropathy peripheral; Pneumonia; Hyperglycaemia; Jaundice; Conjunctivitis; Weight increased; Depression; Pancreatitis; Neutropenia; Pancytopenia; Muscular weakness; Dysphagia; Hypokalaemia; Pain in extremity; Dehydration; Urinary retention; Lethargy; Psychotic disorder; Gastrointestinal haemorrhage; Hyponatraemia; Renal failure acute; Thrombophlebitis; Amnesia; Eye pain; Injection site reaction; Deafness; Sepsis; Hepatic function abnormal; Pulmonary oedema
